Track_name;Artist_Name;genra;lyrics
Tennessee Whiskey;Chris Stapleton;country;Used to spend my nights out in a barroom Liquor was the only love I'd known But you rescued me from reachin' for the bottom And brought me back from bein' too far gone   You're as smooth as Tennessee whiskey You're as sweet as strawberry wine You're as warm as a glass of brandy And honey, I stay stoned on your love all the time   I've looked for love in all the same old places Found the bottom of a bottle's always dry But when you poured out your heart, I didn't waste it 'Cause there's nothin' like your love to get me high   And you're as smooth as Tennessee whiskey You're as sweet as strawberry wine You're as warm as a glass of brandy And honey, I stay stoned on your love all the time  [Guitar Solo] See Chris Stapleton LiveGet tickets as low as $125You might also like You're as smooth as Tennessee whiskey You're as sweet as strawberry wine You're as warm as a glass of brandy And honey, I stay stoned on your love all the time  [Outro] You're as smooth as Tennessee whiskey Tennessee whiskey, Tennessee whiskey You're as smooth as Tennessee whiskey Tennessee whiskey, Tennessee whiskey25Embed;
Colder Weather;Zac Brown Band;country;She'd trade Colorado if he'd take her with him Closes the door 'fore the winter lets the cold in And wonders if her love is strong enough to make him stay She's answered by the taillights shinin' through the window pane   He said, I want to see you again But I'm stuck in colder weather Maybe tomorrow will be better Can I call you then? She said, you're ramblin' man And you ain't ever gonna change You've got a gypsy soul to blame And you were born for leavin'   At a truck stop diner, just outside of Lincoln The night is black as the coffee he was drinkin' And in the waitress' eyes he sees the same old light is shinin' He thinks of Colorado and the girl he left behind him   He said, I want to see you again But I'm stuck in colder weather Maybe tomorrow will be better Can I call you then? She said, you're ramblin' man And you ain't ever gonna change You've got a gypsy soul to blame And you were born for leavin' Born for leavin' You might also like[Bridge] Well, it's a windin' road When you're in the lost and found You're a lover, I'm a runner And we go 'round and 'round And I love you, but I leave you I don't want you, but I need you You know it's you that calls me back here, baby  [Alternate Chorus] Oh, I want to see you again But I'm stuck in colder weather Maybe tomorrow will be better Can I call you then? 'Cause I'm a ramblin' man I ain't ever gonna change I've got a gypsy soul to blame And I was born for leavin' Born for leavin'  [Outro] When I close my eyes I see you No matter where I am I can smell your perfume through these whisperin' pines I'm with your ghost again It's a shame about the weather But I know soon we'll be together And I can't wait 'til then I can't wait 'til then16Embed;
Fast Car;Luke Combs;country;You got a fast car And I want a ticket to anywhere Maybe we make a deal Maybe together we can get somewhere Any place is better Startin' from zero, got nothin' to lose Maybe we'll make something Me, myself, I got nothin' to prove   You got a fast car And I got a plan to get us out of here I've been workin' at the convenience store Managed to save just a little bit of money Won't have to drive too far Just across th border and into the city And you and I can both get jobs Finally see what it mans to be livin'   See, my old man's got a problem He live in the bottle, that's the way it is He said his body's too old for working His body's too young to look like his So Mama went off and left him She wanted more from life than he could give I said, "Somebody's gotta take care of him" So I quit school and that's what I did See Luke Combs LiveGet tickets as low as $110You might also like[Refrain] You got a fast car Is it fast enough so we can fly away? Still gotta make a decision Leave tonight or live and die this way   So I remember when we were driving, driving in your car Speed so fast, I felt like I was drunk City lights lay out before us and your arm felt nice wrapped around my shoulder And I had a feeling that I belonged I had a feeling I could be someone, be someone, be someone   You got a fast car We go cruising, entertain ourselves You still ain't got a job So I work in the market as a checkout girl I know things will get better You'll find work and I'll get promoted And we'll move out of the shelter Buy a bigger house, live in the suburbs   So I remember when we were driving, driving in your car Speed so fast, I felt like I was drunk City lights lay out before us and your arm felt nice wrapped around my shoulder And I had a feeling that I belonged I had a feeling I could be someone, be someone, be someone  You got a fast car I got a job that pays all our bills You stay out drinking late at the bar See more of your friends than you do your kids I'd always hoped for better Thought maybe together you and me would find it I got no plans, I ain't goin' nowhere Take your fast car and keep on driving   So I remember when we were driving, driving in your car Speed so fast, I felt like I was drunk City lights lay out before us and your arm felt nice wrapped around my shoulder And I had a feeling that I belonged I had a feeling I could be someone, be someone, be someone  [Instrumental Break]  [Refrain] You got a fast car Is it fast enough so we can fly away? Still gotta make a decision Leave tonight or live and die this way2Embed;
Church Bells;Carrie Underwood;country;Jenny grew up wild, like a blackfoot daisy Out in the shack with a blue tick hound Broke as hell, but blessed with beauty The kind that a rich man can't turn down She caught the eye of an oil man dancing One summer night in a dime store dress She had the looks, he had the mansion And you can figure out the rest  [Pre-Chorus] It was all roses, drippin' in diamonds Sippin' on champagne She was all uptown, wearing that white gown Takin' his last name   She could hear those church bells ringin', ringin' And up in the loft, that whole choir singin', singin' Fold your hands and close your eyes Yeah, it's all gonna be alright And just listen to the church bells ringin', ringin' Yeah, they're ringin'   Jenny was hosting Junior League parties And havin' dinner at the country club Everyone thought they were Ken and Barbie But Ken was always gettin' way too drunk Saturday night, after a few too many He came home ready to fight And all his money could never save Jenny From the devil livin' in his eyes See Carrie Underwood LiveGet tickets as low as $76You might also like[Pre-Chorus 2] It was all bruises, covered in makeup Dark sunglasses And that next morning, sitting in the back pew Praying with the baptist   She could hear those church bells ringin', ringin' And up in the loft, that whole choir singin', singin' Fold your hands and close your eyes Yeah, it's all gonna be alright You just listen to the church bells ringin', ringin' Yeah, they're ringin'   Jenny slipped somethin' in his Tennessee whiskey No law man was ever gonna find And how he died is still a mystery But he hit a woman for the very last time   She could hear those church bells ringin', ringin' Standin' there in a black dress singin', singin' Fold your hands and close your eyes Yeah, it's all gonna be alright And just listen to the church bells ringin', ringin' Yeah, they're ringin'2Embed;
Buy Dirt;Jordan Davis;country;Few days before he turned 80 He was sitting out back in a rocker He said "What you been up to lately?" I told him chasing a dollar And in between sips of coffee He poured this wisdom out Said "If you want my two cents on making a dollar count  [Chorus: Jordan Davis] Buy dirt Find the one you can't live without Get a ring, let your knee hit the ground Do what you love but call it work And throw a little money in the plate at church Send your prayers up and your roots down deep Add a few limbs to your family tree And watch their pencils marks, and the grass in the yard All grow up 'Cause the truth about it is it all goes by real quick You can't buy happiness But you can buy dirt"  [Verse 2: Luke Bryan] Before you get caught on that ladder Let me tell you what it's all about Find you a few things that matter That you can put a fence around And then he laid it out See Jordan Davis LiveGet tickets as low as $30You might also like[Chorus: Jordan Davis & Luke Bryan] Buy dirt Find the one you can't live without Get a ring, let your knee hit the ground Do what you love but call it work And throw a little money in the plate at church Send you prayers up and your roots down deep And add a few limbs to your family tree And watch their pencils marks, and the grass in the yard All grow up 'Cause the truth about it is it all goes by real quick You can't buy happiness But you can buy dirt  [Bridge: Jordan Davis & Luke Bryan] You can buy dirt And thank the good Lord for it 'Cause He ain't makin' any more of it  [Chorus: Jordan Davis, Luke Bryan, Both] So buy dirt Find the one you can't live without Get a ring, let your knee hit the ground Do what you love but call it work And throw a little money in the plate at church Send your prayers up and your roots down deep Add a few limbs to your family tree And watch their pencils marks, and the grass in the yard All grow up 'Cause the truth about it is it all goes by real quick You can't buy happiness But you can buy dirt6Embed;
Merry Go 'Round;Kacey Musgraves;country;If you ain't got two kids by twenty-one You're probably gonna die alone At least that's what tradition told you And it don't matter if you don't believe Come Sunday morning you best be There in the front row, like you're s'posed to  [Pre-Chorus 1] Same hurt in every heart Same trailer, different park  Mama's hooked on Mary Kay Brother's hooked on Mary Jane And Daddy's hooked on Mary two doors down Mary, Mary, quite contrary We get bored so we get married And just like dust, we settle in this town On this broken merry go 'round And 'round and 'round we go Where it stops, nobody knows And it ain't slowin' down This merry go 'round   We think the first time's good enough So we hold on to high school love Say we won't end up like our parents Tiny little boxes in a row Ain't what you want, it's what you know Just happy in the shoes you're wearin' See Kacey Musgraves LiveGet tickets as low as $20You might also like[Pre-Chorus 2] Same checks we're always cashin' To buy a little more distraction   'Cause Mama's hooked on Mary Kay Brother's hooked on Mary Jane And Daddy's hooked on Mary two doors down Mary, Mary, quite contrary We get bored so we get married And just like dust, we settle in this town On this broken merry go 'round And 'round and 'round we go Where it stops, nobody knows And it ain't slowin' down This merry go 'round  [Instrumental Break]   Mary, Mary, quite contrary We're so bored until we're buried And just like dust we settle in this town On this broken merry go 'round Merry go 'round [Outro] Jack and Jill went up the hill Jack burned out on booze and pills And Mary had a little lamb Mary just don't give a damn no more16Embed;
Wagon Wheel;Darius Rucker;country;Heading down south to the land of the pines I'm thumbing my way into North Caroline Staring up the road and pray to God I see headlights I made it down the coast in seventeen hours Picking me a bouquet of dogwood flowers And I'm a-hoping for Raleigh, I can see my baby tonight   So rock me, mama, like a wagon wheel Rock me, mama, any way you feel Hey, mama, rock me Rock me, mama, like the wind and the rain Rock me, mama, like a southbound train Hey, mama, rock me   Running from the cold up in New England I was born to be a fiddler in an old time string band My baby plays a guitar, I pick a banjo now Oh, north country winters keep a-getting me down Lost my money playing poker so I had to leave town But I ain't turning back to living that old life no more   So rock me, mama, like a wagon wheel Rock me, mama, any way you feel Hey, mama, rock me Rock me, mama, like the wind and the rain Rock me, mama, like a southbound train Hey, mama, rock me You might also like Walking to the south out of Roanoke I caught a trucker out of Philly had a nice long toke But he's a heading west from the Cumberland gap To Johnson City, Tennessee And I got to get a move on before the sun I hear my baby calling my name and I know that she's the only one And if I die in Raleigh at least I will die free   So rock me, mama, like a wagon wheel Rock me, mama, any way you feel Hey, mama, rock me Rock me, mama, like the wind and the rain Rock me, mama, like a southbound train Hey, mama, rock me So rock me, mama, like a wagon wheel Rock me, mama, any way you feel Hey, hey, mama, rock me Mama, rock me Mama, rock me Rock me, mama, like the wind and the rain Rock me, mama, like a southbound train Hey, hey, mama, rock me You can rock me Rock me32Embed;
Humble And Kind;Tim McGraw;country;You know there's a light that glows by the front door Don't forget the keys under the mat When childhood stars shine Always stay humble and kind Go to church 'cause your momma says to Visit grandpa every chance that you can It won't be wasted time Always stay humble and kind   Hold the door, say please, say thank you Don't steal, don't cheat, and don't lie I know you got mountains to climb but Always stay humble and kind When the dreams you're dreamin' come to you When the work you put in is realized Let yourself feel the pride but Always stay humble and kind   Don't expect a free ride from no one Don't hold a grudge or a chip and here's why Bitterness keeps you from flyin' Always stay humble and kind Know the difference between sleepin' with someone And sleepin' with someone you love "I love you" ain't no pickup line, so Always stay humble and kind See Tim McGraw LiveGet tickets as low as $86You might also like Hold the door, say please, say thank you Don't steal, don't cheat, and don't lie I know you got mountains to climb but Always stay humble and kind When those dreams you're dreamin' come to you When the work you put in is realized Let yourself feel the pride but Always stay humble and kind (Yeah)  [Outro] When it's hot, eat a root beer popsicle Shut off the AC and roll the windows down Let that summer sun shine Always stay humble and kind Don't take for granted the love this life gives you When you get where you're goin', don't forget turn back around And help the next one in line Always stay humble and kind15Embed;
Love Story (Taylor�s Version);Taylor Swift;country;We were both young when I first saw you I close my eyes and the flashback starts I'm standing there On a balcony in summer air See the lights, see the party, the ball gowns See you make your way through the crowd And say, "Hello" Little did I know  [Pre-Chorus] That you were Romeo, you were throwing pebbles And my daddy said, "Stay away from Juliet" And I was crying on the staircase Begging you, "Please don't go," and I said   Romeo, take me somewhere we can be alone I'll be waiting, all there's left to do is run You'll be the prince and I'll be the princess It's a love story, baby, just say, "Yes"   So I sneak out to the garden to see you We keep quiet 'cause we're dead if they knew So close your eyes Escape this town for a little while, oh, oh See Taylor Swift LiveGet tickets as low as $1,702You might also like[Pre-Chorus] 'Cause you were Romeo, I was a scarlet letter And my daddy said, "Stay away from Juliet" But you were everything to me I was begging you, "Please don't go," and I said   Romeo, take me somewhere we can be alone I'll be waiting, all there's left to do is run You'll be the prince and I'll be the princess It's a love story, baby, just say, "Yes" Romeo, save me, they're trying to tell me how to feel This love is difficult, but it's real Don't be afraid, we'll make it out of this mess It's a love story, baby, just say, "Yes"  [Post-Chorus] Oh, oh  [Bridge] But I got tired of waiting Wondering if you were ever coming around My faith in you was fading When I met you on the outskirts of town   And I said, "Romeo, save me, I've been feeling so alone I keep waiting for you, but you never come Is this in my head? I don't know what to think" He knelt to the ground and pulled out a ring, and said "Marry me, Juliet, you'll never have to be alone I love you and that's all I really know I talked to your dad, go pick out a white dress It's a love story, baby, just say, 'Yes'" [Outro] Oh, oh, oh Oh, oh, oh 'Cause we were both young when I first saw you48Embed;
Parachute;Chris Stapleton;country;Street lights along the highway Throwin' shadows in the dark And the memories keep on turnin' To the rhythm of a broken heart   You only need a roof when it's rainin' You only need a fire when it's cold You only need a drink when the whiskey Is the only thing that you have left to hold Sun comes up and goes back down And fallin' feels like flyin' 'til you hit the ground Say the word and I'll be there for you Baby, I will be your parachute Parachute   There's a song that I remember I never learned to play And a lifetime of forgotten words I never got to say   You only need a roof when it's rainin' You only need a fire when it�s cold You only need a drink when the whiskey Is the only thing that you have left to hold Sun comes up and goes back down And fallin' feels like flyin' 'til you hit the ground Say the word and I�ll be there for you Baby, I will be your parachute Parachute See Chris Stapleton LiveGet tickets as low as $125You might also like[Bridge] If you think you're goin' down Just know I will be around   You only need a roof when it's rainin' You only need a fire when it's cold You only need a drink when the whiskey Is the only thing that you have left to hold Sun comes up and goes back down And fallin' feels like flyin' 'til you hit the ground Say the word and I'll be there for you Baby, I will be your Baby, I will be your parachute Parachute2Embed;
