Track_name;Artist_Name;genra;lyrics;
Chicago;Michael Jackson;pop;Ah, I met her on my way to Chicago Where she was all alone And so was I, so I asked her for her name She smiled and looked at me I was surprised to see That a woman like that was really into me   She said she didn't have no man Raised the kids the very best she can (She was lovin' me) She told me she was all alone Said at home, she didn't have no phone (She was wantin' me) She said just to give her a page Fifty-nine was the code she gave (She was lovin' me) She'd lied to you, lied to me 'Cause she was lovin' me, lovin' me, yeah   I never woulda thought she was livin' like that Her words seemed so sincere When I held her near, she would tell me how she feels It felt so real to me, this girl, she had to be An angel sent from Heaven just for me   She said she didn�t have no man (Ah, ah) Raised the kids the very best she can (Look, she's lovin' me) She told me she was all alone Said at home, she didn't have no phone (She was lovin' me) She said just to give her a page Fifty-nine was the code she gave She'd lied to you, lied to me 'Cause she was lovin' me, lovin' me, yeah (Look who's lovin' me) She tried to live a double life Lovin' me while she was still your wife (She was wantin' me) She thought that lovin' me was cool With you at work and the kids at school (She was lovin' me) She said like it would never end Tried to keep me any way she can (She was wantin' me) She'd lied to you, lied to me 'Cause she got a family, family, yeah You might also like[Post-Chorus] Woah-oh-oh, no Alright Oh, I'm in love, love   I didn't know she was already spoken for 'Cause I'm not that kind of man Swear that I would've never looked her way Now I feel so much shame And all things have to change You should know that I'm holdin' her to blame   She said she didn�t have no man Raised the kids the very best she can (Holdin' her to blame) She told me she was all alone Said at home, she didn't have no phone (Holdin' her to blame) She said just to give her a page Fifty-nine was the code she gave (Holdin' her to blame) She'd lied to you, lied to me 'Cause she was lovin' me, lovin' me, yeah (Holdin' her to blame) She tried to live a double life Loving me while she was still your wife (Holdin' her to blame) She thought that loving me was cool With you at work and the kids at school (Holdin' her to blame) She said like it would never end Tried to keep me any way she can (Holdin' her to blame) She'd lied to you, lied to me 'Cause she got a family, family, yeah [Outro] She said she didn�t have no man (Ah, ah) Raised the kids the very best she can (Look, she's lovin' me) She told me she was all alone Said at home, she didn't have no phone (She was lovin' me) She said just to give her a page Fifty-nine was the code she gave (She's with me) She'd lied to you, lied to me 'Cause she was lovin' me, lovin' me, yeah (Look who's lovin' me) She tried to live a double life Lovin' me while she was still your wife (She was wantin' me) She thought that lovin' me was cool With you at work and the kids at school (She was lovin' me) She said like it would never end Tried to keep me any way she can (She was wantin' me) She'd lied to you, lied to me 'Cause she got a family, family, yeah26Embed;
Remember the Time;Michael Jackson;pop;I don't know, bet you wanna try Every time you see   Do you remember when we fell in love? We were young and innocent then Do you remember how it all began? It just seemed like heaven, so why did it end?  [Pre-Chorus 1] Do you remember, back in the fall? We'd be together all day long Do you remember us holding hands? In each other's eyes, we'd stare Tell me   Do you remember the time? When we fell in love Do you remember the time? When we first met, girl Do you remember the time? (Oh, I) When we fell in love Do you remember the time? You might also like Do you remember how we used to talk? You know, we'd stay on the phone at night 'til dawn Do you remember all the things we said? Like, "I love you so, I'll never let you go"  [Pre-Chorus 2] Do you remember, back in the spring? Every morning, birds would sing Do you remember those special times? They'll just go on and on In the back of my mind   Do you remember the time? (Oh, I) When we fell in love Do you remember the time? When we first met, girl Do you remember the time? (Oh, I) When we fell in love Do you remember the time?  [Bridge] Those sweet memories Will always be dear to me And girl, no matter what was said I will never forget what we had Now, baby  Do you remember the time? When we fell in love Do you remember the time? When we first met, girl Do you remember the time? (Oh, I) When we fell in love Do you remember the time? (Remember, my baby) Do you remember the time? ('Cause I remember) When we fell in love Do you remember the time? (All in my mind, girl) Do you remember the time? (Oh, I) When we fell in love Do you remember the time? (Remember, my baby)  [Breakdown] (Remember the time) Hoo! (Remember the time) Do you remember, girl? (Remember the time) On the phone, you and me (Remember the time) 'Til dawn, 'til three What about us, girl? (Remember the time) Do you, do you, do you? (Remember the time) Do you, do you? In the park, on the beach (Remember the time) You and me, in Spain What about, what about (Remember the time) Grrrrrat, tat tat, tat Grrrrrat, tat tat (Remember the time) Hoo! In the park (Remember the time) After dark, do you, do you, do you? (Remember the time) Do you, do you, do you, do you? (Remember the time) Yeah, yeah, hoo! (Remember the time, remember the time)49Embed;
Beat It;Michael Jackson;pop;They told him, "Don't you ever come around here Don't wanna see your face, you better disappear" The fire's in their eyes and their words are really clear So beat it, just beat it (Ooh!) You better run, you better do what you can (Ooh!) Don't wanna see no blood, don't be a macho man (Ooh!) You wanna be tough, better do what you can So beat it, but you wanna be bad   Just beat it (Beat it) Beat it (Beat it) No one wants to be defeated Showin' how funky and strong is your fight It doesn't matter who's wrong or right Just beat it (Beat it) Just beat it (Beat it) Just beat it (Beat it) Just beat it (Beat it, uh)   They're out to get you, better leave while you can Don't wanna be a boy, you wanna be a man You wanna stay alive, better do what you can So beat it, just beat it (Ooh!) You have to show them that you're really not scared (Ooh!) You're playin' with your life, this ain't no truth or dare (Ooh!) They'll kick you, then they'll beat you, then they'll tell you it's fair So beat it, but you wanna be bad You might also like Just beat it (Beat it) Beat it (Beat it) No one wants to be defeated Showin' how funky and strong is your fight It doesn't matter who's wrong or right Just beat it (Beat it) Beat it (Beat it) No one wants to be defeated Showin' how funky and strong is your fight It doesn't matter who's wrong or right Just beat it (Beat it, beat it, beat it) Beat it (Beat it, beat it, ha, ha, ha, ha) Beat it (Beat it, beat it) Beat it (Beat it, beat it) [Guitar Solo]   Beat it (Beat it) Beat it (Beat it) No one wants to be defeated Showin' how funky and strong is your fight It doesn't matter who's wrong or right (Who's right) Just beat it (Beat it) Beat it (Beat it) (Hoo, hoo!) No one wants to be defeated (Oh, lord) Showin' how funky (Hee-hee!) and strong is your fight (Hee-hee-hee!) It doesn't matter who's wrong or right Just beat it (Beat it) Beat it (Beat it) (Beat it!) No one wants to be defeated (Oh-no!) Showin' how funky (Hoo-hoo!) and strong is your fight (Hee-hee! Hoo!) It doesn't matter who's wrong or right Just beat it (Beat it) Beat it (Beat it) No one wants to be defeated Showin' how funky and strong is your fight It doesn't matter who's wrong or right (Who's right) Just beat it (Beat it) Beat it (Beat it) (Hoo-hoo!) No one wants to be defeated92Embed;
Don't Stop 'Til You Get Enough;Michael Jackson;pop;You know, I was I was wondering, you know If you could keep on Because the force It's got a lot of power And it make me feel like ah It make me feel like� ooh!   Lovely is the feelin' now Fever, temperatures risin' now Power (Oh, power) is the force, the vow That makes it happen, it asks no questions why (Ooh) So get closer (Closer now) To my body now Just love me 'Til you don't know how (Ooh)   Keep on with the force, don't stop Don't stop 'til you get enough Keep on with the force, don't stop Don't stop 'til you get enough Keep on with the force, don't stop Don't stop 'til you get enough Keep on with the force, don't stop Don't stop 'til you get enough You might also like Touch me and I feel on fire Ain�t nothin' like a love desire (Ooh) I'm melting (I'm melting) Like hot candle wax Sensation (Oh, sensation) Lovely where we're at (Ooh!) So let love take us through the hours I won't be complainin' (Aah) 'Cause this is love power (Ooh)   Keep on with the force, don't stop Don't stop 'til you get enough Keep on with the force, don't stop Don't stop 'til you get enough Keep on with the force, don't stop Don't stop 'til you get enough Keep on with the force, don't stop Don't stop 'til you get enough  [Instrumental Interlude] Ooh! Oh, baby Keep on Keep on  Heartbreak enemy despise Eternal (Oh, eternal) Love shines in my eyes (Ooh) So let love take us through the hours (Oh, let love) I won't be complainin' (No, no) (Hoo!) 'Cause your love is alright, alright (Ooh)   Keep on with the force, don't stop Don't stop 'til you get enough Keep on with the force, don't stop Don't stop 'til you get enough Keep on with the force, don't stop Don't stop 'til you get enough Keep on with the force, don't stop Don't stop 'til you get enough Keep on with the force, don't stop (Don't stop, baby) Don't stop 'til you get enough Keep on with the force, don't stop Don't stop 'til you get enough (Oh, my baby) Keep on with the force, don't stop Don't stop 'til you get enough Keep on with the force, don't stop Don't stop 'til you get enough [Refrain] Lovely is the feelin' now I won't be complainin' (Ooh, ooh) The force is love power  [Chorus / Outro] Keep on with the force, don't stop Don't stop 'til you get enough Keep on with the force, don't stop (Don't stop, darlin') Don't stop 'til you get enough Keep on with the force, don't stop (Don't, baby) Don't stop 'til you get enough Keep on with the force, don't stop (Keep on) Don't stop 'til you get enough Keep on with the force, don't stop (Keep on, darlin') Don't stop 'til you get enough Keep on with the force, don't stop (Love power, yeah) Don't stop 'til you get enough Keep on with the force, don't stop (Keep on, darlin') Don't stop 'til you get enough Keep on with the force, don't stop (Love power) Don't stop 'til you get enough Keep on with the force, don't stop (Keep on with the power, would ya, ooh) Don't stop 'til you get enough (Don't stop 'til you get enough, ooh) Keep on with the force, don't stop Don't stop 'til you get enough Keep on with the force, don't stop (Keep on, yeah) Don't stop 'til you get enough (Ah, ah now) Keep on with the force, don't stop (Yeah) Don't stop 'til you get enough Keep on with the force, don't stop (Keep on, baby) Don't stop 'til you get enough Keep on with the force, don't stop (Don't 'til you get enough) Don't stop 'til you get enough Keep on with the force, don't stop Don't stop 'til you get enough Keep on with the force, don't stop (Keep on, darlin') Don't stop 'til you get enough Keep on with the force, don't stop (Alright, yeah) Don't stop 'til you get enough Keep on with the force, don't stop (Keep on, baby) Don't stop 'til you get enough Keep on with the force, don't stop (Don't stop)23Embed;
Smooth Criminal - ;Michael Jackson;pop;Ow! Cha! Shoo-ca-choo-ca!   As he came into the window Was a sound of a crescendo He came into her apartment He left the bloodstains on the carpet She ran underneath the table He could see she was unable So she ran into the bedroom She was struck down, it was her doom  [Pre-Chorus] Annie, are you okay? So, Annie, are you okay? Are you okay, Annie? Annie, are you okay? So, Annie, are you okay? Are you okay, Annie? Annie, are you okay? So, Annie, are you okay? Are you okay, Annie? Annie, are you okay? So, Annie, are you okay? Are you okay, Annie?   Annie, are you okay? Will you tell us that you're okay? There's a sound at the window Then he struck you, a crescendo, Annie He came into your apartment Left the bloodstains on the carpet And then you ran into the bedroom You were struck down It was your doom You might also like[Post-Chorus] Annie, are you okay? So, Annie, are you okay? Are you okay, Annie? Annie, are you okay? So, Annie, are you okay? Are you okay, Annie? Annie, are you okay? So, Annie, are you okay? Are you okay, Annie?  [Refrain] You've been hit by� You've been hit by� A smooth criminal Ow!   So they came in to the out way It was Sunday, what a black day Every time I tried to find him There were no clues, they�re behind him And they end up never knowing Who�s the suspect or what to expect Mouth-to-mouth resuscitation Sounding heartbeats, intimidations  [Pre-Chorus] Annie, are you okay? So, Annie, are you okay? Are you okay, Annie? Annie, are you okay? So, Annie, are you okay? Are you okay, Annie? Annie, are you okay? Annie, are you okay? Are you okay? Annie, are you okay? So, Annie, are you okay? Are you okay, Annie? Annie, are you okay? So, Annie, are you okay? Are you okay, Annie?  Annie, are you okay? Will you tell us that you're okay? There's a sound at the window Then he struck you, a crescendo, Annie He came into your apartment Left the bloodstains on the carpet And then you ran into the bedroom You were struck down It was your doom  [Post-Chorus] Annie, are you okay? Annie, are you okay? Are you okay, Annie?  [Refrain] You've been hit by� You've been struck by� A smooth criminal  [Interlude] Choo-cha, choo-cha Ow! Okay, I want everybody to clear the area right now!  [Breakdown] Ow! Hoo! Hoo! Hoo! Hoo! Ow!  Annie, are you okay? (I don't know) Will you tell us that you're okay? (I don't know) There's a sound at the window (I don't know) Then he struck you, a crescendo, Annie (I don't know) He came into your apartment (I don't know) Left bloodstains on the carpet (I don't know why, baby) And then you ran into the bedroom (Help me) You were struck down It was your doom, Annie (Dag gone it) Annie, are you okay? (Dag gone it, baby) Will you tell us that you're okay? (Dag gone it, baby) There's a sound at the window (Dag gone it, baby) Then he struck you, a crescendo Annie (Hoo! Hoo!) He came into your apartment, (Dag gone it) Left bloodstains on the carpet (Hoo!) And then you ran into the bedroom (Hoo! Hoo!) You were struck down (Dag gone it) It was your doom, Annie (Ow!)  [Outro] Ow! Ow! Shoo-cha-choo, shoo-cha-choo! Ow! Ow!112Embed;
Love Never Felt So Good;Michael Jackson;pop;Dancin' Let me see you move, come on Dancin' Let me see you move  [Verse 1: Michael Jackson] Baby, love never felt so good And I doubt if it ever could Not like you hold me, hold me Oh baby, love never felt so fine And I doubt if it's never mine Not like you hold me, hold me  [Pre-Chorus: Michael Jackson] And the night is gonna be just fine Gotta fly, gotta see, can't believe I can't take it, cause  [Chorus: Michael Jackson] Baby, every time I love you In and out of my life, in and out baby Tell me, if you really love me It's in and out of my life, in and out baby So baby, love never felt so good You might also like[Verse 2: Justin Timberlake] Baby, love never felt so fine And I doubt if it was ever mine Not like you hold me, hold me Ooh baby, love never felt so good And I doubt if it ever could Not like you hold me, hold me  [Pre-Chorus: Justin Timberlake & Michael Jackson] And the night through the thick and thin Gotta fly, gotta see, can't believe I can't take it cause  [Chorus: Michael Jackson & Justin Timberlake] Baby, every time I love you In and out of my life, in and out baby Tell me, if you really love me It's in and out of my life, in and out baby So baby, love never felt so good  [Bridge: Justin Timberlake] Dancin' Let me see you move, come on Let me see you move Dancin' Let me see you move, come on I said let me see you move Michael [Pre-Chorus: Michael Jackson] And the night, that is good Gotta fly, gotta see, can't believe I can't take it cause  [Chorus: Michael Jackson] Baby, every time I love you In and out of my life, in and out baby Tell me, if you really love me It's in and out of my life, in and out baby So baby, love never felt so good Baby, every time I love you In and out of my life, in and out baby Tell me, if you really love me It's in and out of my life, in and out baby So baby, love never felt so good121Embed;
P.Y.T. (Pretty Young Thing);Michael Jackson;pop;You know you, you make me feel so good inside I always wanted a girl just like you Such a P.Y.T., pretty young thing, ooh   Where did you come from, lady? And ooh, won't you take me there Right away, won't you, baby? Tenderoni, you've got to be Spark my nature, sugar, fly with me Don't you know now is the perfect time? We can make it right, hit the city lights Then tonight, ease the lovin' pain Let me take you to the max   I want to love you (P.Y.T.) Pretty young thing You need some lovin' (T.L.C.) Tender lovin' care And I'll take you there, girl, ooh-oh I want to love you (P.Y.T.) Pretty young thing You need some lovin' (T.L.C.) Tender lovin' care And I'll take you there (Anywhere you wanna go) Yes, I will, ooh You might also like Nothin' can stop this burnin' desire to be with you Gotta get to you, baby Won't you come? It's emergency Cool my fire yearnin' Honey, come set me free Don't you know now is the perfect time? We can dim the lights just to make it right In the night, hit the lovin' spot I'll give you all that I've got   I want to love you (P.Y.T.) Pretty young thing You need some lovin' (T.L.C.) Tender lovin' care And I'll take you there, yes, I will, yes, I will I want to love you (P.Y.T.) Pretty young thing You need some lovin' (T.L.C.) Tender lovin' care And I'll take you there Yes, I will, hee-eh  [Bridge] Pretty young thing, uh! You make me sing, ha, ha, ha Pretty young thing, uh! You make me sing, ha, ha, ha Pretty young things, repeat after me Sing, "na-na-na" (Na-na-na) "Na-na-na-na" (Na-na-na-na) Sing, "na-na-na" (Na-na-na) "Na-na-na-na" (Na-na-na-na) I will take you there, take you there  I want to love you (P.Y.T.) Pretty young thing You need some lovin' (T.L.C.) Tender lovin' care And I'll take you there, take you there, take you there I want to love you (P.Y.T.) Pretty young thing You need some lovin' (T.L.C.) Tender lovin' care And I'll take you there, take you there, hoo-ooh  [Outro] Hoo-ooh! (I want to love you, P.Y.T., P.Y.T.) Oh, baby (I want to give you T.L.C., T.L.C) Oh, baby Oh, darling, ooh-ooh I want to love you, P.Y.T., P.Y.T I want to give you T.L.C., T.L.C You're such a P.Y.T. to me, pretty young thing Oh, baby, oh, baby, hold on I want to love you, P.Y.T., P.Y.T. (Oh, baby) I want to give you T.L.C., T.L.C (You can be, ooh) I just wanna love you, you know? Ha-ha-ha, I'll give you all that I got46Embed;
They Don't Care About Us;Michael Jackson;pop;"All I want to say is that They don't really care about us" ("Don't worry what people say, we know the truth") "All I want to say is that They don't really care about us" ("Enough is enough of this garbage!") ("Okay, alright, alright, alright") "All I want to say is that They don't really care about us" *overlapping voices*   Skinhead, dead head, everybody gone mad Situation, aggravation, everybody, allegation In the suit, on the news, everybody, dog food Bang, bang, shot dead, everybody's gone mad   All I wanna say is that They don't really care about us All I wanna say is that They don't really care about us   Beat me, hate me, you can never break me Will me, thrill me, you can never kill me *** me, sue me, everybody do me Kick me, **** me, don't you, "Black or white" me You might also like All I wanna say is that They don't really care about us All I wanna say is that They don't really care about us  [Post-Chorus] And tell me, what has become of my life? I have a wife and two children who love me I am a victim of police brutality now I'm tired of being the victim of hate You're ripping me off my pride, oh, for God's sake I look to Heaven to fulfill its prophecy, set me free   Skinhead, dead head, everybody gone bad Trepidation, speculation, everybody, allegation In the suit, on the news, everybody, dog food Black man, blackmail, throw the brother in jail   All I wanna say is that They don't really care about us All I wanna say is that They don't really care about us [Post-Chorus] And tell me, what has become of my rights? Am I invisible 'cause you ignore me? Your proclamation promised me free liberty now I'm tired of being the victim of shame (Ooh) They're throwing me in a class with a bad name (Ooh) I can't believe this is the land from which I came (Ooh)  [Bridge] You know, I really do hate to say it The government don't wanna see But if Roosevelt was livin' He wouldn't let this be, no, no   Skinhead, dead head, everybody gone bad Situation, speculation, everybody, litigation Beat me, bash me, you can never trash me Hit me, kick me, you can never get me   All I wanna say is that They don't really care about us All I wanna say is that They don't really care about us [Guitar Solo]  [Bridge] Some things in life They just don't wanna see But if Martin Luther was livin' He wouldn't let this be No, no, no, yeah, yeah, yeah, yeah   Skinhead, dead head, everybody gone mad Situation, segregation, everybody, allegation (Hoo-hoo) In the suit, on the news, everybody, dog food (Hoo-hoo) Kick me, **** me, don't you wrong or right me (We're deep in fire)   All I wanna say is that They don't really care about us We're deep in the fire (Hoo-hoo) All I wanna say is that They don't really care about us I'm here to remind you (Hoo-hoo) All I wanna say is that They don't really care about us (Hee) Don't you sit back and watch the beatin'  [Outro] All I wanna say is that They don't really care about�, hoo-hoo All I wanna say is that They don't really care about�, hoo-hoo All I wanna say is that They don't really care about us, hee-hee-hee Hee-hee, hoo-hoo  [Instrumental Outro]94Embed;
The Way You Make Me Feel - ;Michael Jackson;pop;Hee-hee, ooh Go on, girl, aaow! Hee   Hey, pretty baby with the high heels on You give me fever like I've never ever known You're just a product of loveliness I like the groove of your walk, your talk, your dress I feel your fever from miles around I'll pick you up in my car and we'll paint the town Just kiss me, baby, and tell me twice That you're the one for me   The way you make me feel (The way you make me feel) You really turn me on (You really turn me on) You knock me off of my feet (You knock me off of my feet) My lonely days are gone (My lonely days are gone) Uh, uh   I like this feelin' you're givin' me Just hold me, baby, and I'm in ecstasy Oh, I'll be workin' from nine to five To buy you things to keep you by my side I've never felt so in love before Just promise, baby, you'll love me forever more I swear I'm keepin' you satisfied 'Cause you're the one for me You might also like The way you make me feel (The way you make me feel) You really turn me on (You really turn me on) You knock me off of my feet now, baby (You knock me off of my feet) My lonely days are gone (My lonely days are gone)  [Interlude] Acha-ooh Go on, girl, go on Hee-hee, aaow Go on, girl  [Pre-Chorus] I've never felt so in love before Just promise, baby, you'll love me forevermore I swear I'm keepin' you satisfied 'Cause you're the one for me   The way you make me feel (The way you make me feel) You really turn me on (You really turn me on) You knock me off of my feet now, baby, hee (You knock me off of my feet) My lonely days are gone, ah, ah (My lonely days are gone) The way you make me feel (The way you make me feel) You really turn me on (You really turn me on) You knock me off of my feet now, baby, hee (You knock me off of my feet) My lonely days are gone (My lonely days are gone) [Bridge] Ain't nobody's business (The way you make me feel) Ain't nobody's business Ain't nobody's business (You really turn me on) Ain't nobody's business But mine and my baby, hee-hee (You knock me off of my feet) Hee-hee, ooh (My lonely days are gone) Give it to me (The way you make me feel) Give me some time Come on, be my girl (You really turn me on) I wanna be with mine Ain't nobody's business (You knock me off of my feet) Ain't nobody's business But mine and my baby (My lonely days are gone) Go on, girl, aaow  [Interlude] Hee-hee, ooh Choo-coo, choo-coo Choo-coo, choo-coo, choo-coo Go on, girl!  [Refrain] The way you make me feel (Hee-hee, hee-hee-hee) You really turn me on You knock me off of my feet My lonely days are gone [Outro] Give it to me (The way you make me feel) Give me some time Come on, be my girl (You really turn me on) I wanna be with mine Ain't nobody's business (You knock me off of my feet) Ain't nobody's business But mine and my baby (My lonely days are gone) Go on, girl Give it to me (The way you make me feel) Give me some time Come on, be my girl (You really turn me on) I wanna be with mine44Embed;
Heal the World;Michael Jackson;pop;Think about, um, the generations and, uh, say we wanna make it a better place for our children and our children's children, so that they, they, they s�they know it's a better world for them, and think if they can make it a better place...  [Verse 1: Michael Jackson] There's a place in your heart And I know that it is love And this place could much brighter than tomorrow And if you really try You'll find there's no need to cry In this place, you'll feel there's no hurt or sorrow  [Pre-Chorus: Michael Jackson] There are ways to get there If you care enough for the living Make a little space Make a better place  [Chorus: Michael Jackson] Heal the world Make it a better place For you and for me and the entire human race There are people dying If you care enough for the living Make a better place for you and for me  [Verse 2: Michael Jackson] If you want to know why There's a love that cannot lie Love is strong, it only cares for joyful giving If we try, we shall see In this bliss, we cannot feel Fear or dread, we stop existing and start living You might also like[Pre-Chorus: Michael Jackson] Then it feels that always Love's enough for us growing Make a better world So make a better world  [Chorus: Michael Jackson] Heal the world Make it a better place For you and for me and the entire human race There are people dying If you care enough for the living Make a better place for you and for me  [Bridge: Michael Jackson] And the dream we were conceived in will reveal a joyful face And the world we once believed in will shine again in grace Then why do we keep strangling life Wound this Earth, crucify its soul? Though it's plain to see this world is heavenly Be God's glow  [Verse 3: Michael Jackson] We could fly so high Let our spirits never die In my heart, I feel you are all my brothers Create a world with no fear Together, we'll cry happy tears See the nations turn their swords into plowshares [Pre-Chorus: Michael Jackson] We could really get there If you cared enough for the living Make a little space To make a better place  [Chorus: Michael Jackson & The John Bahler Singers] Heal the world Make it a better place For you and for me and the entire human race There are people dying If you care enough for the living Make a better place for you and for me Heal the world Make it a better place (Better place) For you and for me and the entire human race There are people dying If you care enough for the living Make a better place for you and for me Heal the world (Heal the world) Make it a better place (Better place) For you and for me and the entire human race (Oh, no) There are people dying (Oh) If you care enough for the living Make a better place for you and for me [Post-Chorus: Michael Jackson & The John Bahler Singers] (Yeah) There are people dying (Oh) If you care enough for the living (Then) Make a better place for you and for me (Everyone, there are) There are people dying (Oh) If you care enough for the living Make a better place for you and for me  [Outro: MJ, MJ & The John Bahler Singers, Christa Collins, MJ & Christa Collins] (You and for me) Make a better place (You and for me) Make a better place (You and for me) Make a better place (You and for me) Heal the world we live in (You and for me) Save it for our children (You and for me) Heal the world we live in (You and for me) Save it for our children (You and for me) Heal the world we live in (You and for me) Save it for our children (You and for me) Heal the world we live in (You and for me) Save it for our children25Embed;
