Track_name;Artist_Name;genra;lyrics
Obsessed;Mariah Carey;pop; [Intro: Mariah Carey & The-Dream] I was like, "Why are you so obsessed with me?" So oh, oh, oh, oh (Ay, ay, ay) So oh, oh, oh, oh (Ay, ay, ay, ay) So oh, oh, oh, oh (Will the real MC please) So oh, oh, oh, oh (Step to the mic?) So oh, oh, oh, oh (MC, MC) So oh, oh, oh, oh (You need a MC) So oh, oh, oh, oh (Place to be) So oh, oh, oh, oh (MC, the MC)   All up in the blogs saying we met at the bar When I don't even know who you are Saying we up in your house, saying I'm up in your car But you in LA, and I'm out at Jermaine's I'm up in the A, you so, so lame And no one here even mentions your name It must be the weed, it must be the E 'Cause you be popping, heard you get it popping   Ooh whoa oh, oh Why you so obsessed with me? Boy, I wanna know Lying that you're sexing me, when everybody knows It's clear that you're upset with me, oh oh oh Finally found a girl that you couldn't impress Last man on the earth, still couldn't get this You're delusional, you're delusional Boy, you're losing your mind It's confusing, yo, you're confused, you know Why you wasting your time? Got you all fired up with your Napoleon complex See right through you like you're bathing in Windex See Mariah Carey LiveGet tickets as low as $53You might also like[Post-Chorus] Oh, oh, oh Boy, why you so obsessed with me? So oh, oh, oh, oh (Oh, oh, oh) So oh, oh, oh, oh (And all my ladies say) So oh, oh, oh, oh So oh, oh, oh, oh (And all my girls say) O-o-o-o-o-o-o-o-o-o (Obsessed) O-o-o-o-o-o-o-o-o-o (Obsessed) O-o-o-o-o-o-o-o-o-o (Obsessed) O-o-o-o-o-o-o-o-o-o (Obsessed)   You on your job, you hating hard Ain't gon' feed you, I'ma let you starve Grasping for air, I'm ventilation You out of breath, hope you ain't waiting Telling the world how much you miss me But we never were, so why you tripping? You a mom and pop, I'm a corporation I'm the press conference, you a conversation   Ooh whoa oh, whoa whoa Why you so obsessed with me? And boy, I wanna know Lying that you're sexing me, when everybody knows It's clear that you're upset with me, oh, oh, oh Finally found a girl that you couldn't impress Last man on the earth still couldn't get this You're delusional, you're delusional Boy, you're losing your mind (Mind) It's confusing, yo, you're confused, you know? Why you wasting your time? (Time) Got you all fired up with your Napoleon complex See right through you like you're bathing in Windex [Post-Chorus] Oh, oh, oh Boy, why you so obsessed with me? So oh, oh, oh, oh (Oh, oh, oh) So oh, oh, oh, oh (And all my ladies say) So oh, oh, oh, oh (Ooh-ooh -ooh) So oh, oh, oh, oh (And all my girls say) O-o-o-o-o-o-o-o-o-o (Obsessed) O-o-o-o-o-o-o-o-o-o (Obsessed) O-o-o-o-o-o-o-o-o-o (Obsessed) O-o-o-o-o-o-o-o-o-o (Obsessed)   Ooh whoa oh, whoa whoa (Hey, he's all up in my George Foreman) Why you so obsessed with me? Boy, I wanna know Lying that you're sexing me, when everybody knows (Lying that you're sexing Mimi) It's clear that you're upset with me, oh, oh, oh (Eh) Finally found a girl that you couldn't impress Last man on the earth, still couldn't get this (No) You're delusional, you're delusional (He's all up in my George Foreman) Boy, you're losing your mind It's confusing, yo, you're confused, you know? (But I can't do nothing for him) Why you wasting your time? Got you all fired up with your Napoleon complex See right through you like you're bathing in Windex (You love me, you love me, you really, really love me)37Embed;
Bye Bye Bye - From Deadpool and Wolverine Soundtrack;*NSYNC;pop; [Intro: Mariah Carey & The-Dream] I was like, "Why are you so obsessed with me?" So oh, oh, oh, oh (Ay, ay, ay) So oh, oh, oh, oh (Ay, ay, ay, ay) So oh, oh, oh, oh (Will the real MC please) So oh, oh, oh, oh (Step to the mic?) So oh, oh, oh, oh (MC, MC) So oh, oh, oh, oh (You need a MC) So oh, oh, oh, oh (Place to be) So oh, oh, oh, oh (MC, the MC)   All up in the blogs saying we met at the bar When I don't even know who you are Saying we up in your house, saying I'm up in your car But you in LA, and I'm out at Jermaine's I'm up in the A, you so, so lame And no one here even mentions your name It must be the weed, it must be the E 'Cause you be popping, heard you get it popping   Ooh whoa oh, oh Why you so obsessed with me? Boy, I wanna know Lying that you're sexing me, when everybody knows It's clear that you're upset with me, oh oh oh Finally found a girl that you couldn't impress Last man on the earth, still couldn't get this You're delusional, you're delusional Boy, you're losing your mind It's confusing, yo, you're confused, you know Why you wasting your time? Got you all fired up with your Napoleon complex See right through you like you're bathing in Windex See Mariah Carey LiveGet tickets as low as $53You might also like[Post-Chorus] Oh, oh, oh Boy, why you so obsessed with me? So oh, oh, oh, oh (Oh, oh, oh) So oh, oh, oh, oh (And all my ladies say) So oh, oh, oh, oh So oh, oh, oh, oh (And all my girls say) O-o-o-o-o-o-o-o-o-o (Obsessed) O-o-o-o-o-o-o-o-o-o (Obsessed) O-o-o-o-o-o-o-o-o-o (Obsessed) O-o-o-o-o-o-o-o-o-o (Obsessed)   You on your job, you hating hard Ain't gon' feed you, I'ma let you starve Grasping for air, I'm ventilation You out of breath, hope you ain't waiting Telling the world how much you miss me But we never were, so why you tripping? You a mom and pop, I'm a corporation I'm the press conference, you a conversation   Ooh whoa oh, whoa whoa Why you so obsessed with me? And boy, I wanna know Lying that you're sexing me, when everybody knows It's clear that you're upset with me, oh, oh, oh Finally found a girl that you couldn't impress Last man on the earth still couldn't get this You're delusional, you're delusional Boy, you're losing your mind (Mind) It's confusing, yo, you're confused, you know? Why you wasting your time? (Time) Got you all fired up with your Napoleon complex See right through you like you're bathing in Windex [Post-Chorus] Oh, oh, oh Boy, why you so obsessed with me? So oh, oh, oh, oh (Oh, oh, oh) So oh, oh, oh, oh (And all my ladies say) So oh, oh, oh, oh (Ooh-ooh -ooh) So oh, oh, oh, oh (And all my girls say) O-o-o-o-o-o-o-o-o-o (Obsessed) O-o-o-o-o-o-o-o-o-o (Obsessed) O-o-o-o-o-o-o-o-o-o (Obsessed) O-o-o-o-o-o-o-o-o-o (Obsessed)   Ooh whoa oh, whoa whoa (Hey, he's all up in my George Foreman) Why you so obsessed with me? Boy, I wanna know Lying that you're sexing me, when everybody knows (Lying that you're sexing Mimi) It's clear that you're upset with me, oh, oh, oh (Eh) Finally found a girl that you couldn't impress Last man on the earth, still couldn't get this (No) You're delusional, you're delusional (He's all up in my George Foreman) Boy, you're losing your mind It's confusing, yo, you're confused, you know? (But I can't do nothing for him) Why you wasting your time? Got you all fired up with your Napoleon complex See right through you like you're bathing in Windex (You love me, you love me, you really, really love me)37Embed;
A Sky Full of Stars;Coldplay;pop;'Cause you're a sky, 'cause you're a sky full of stars I'm gonna give you my heart 'Cause you're a sky, 'cause you're a sky full of stars 'Cause you light up the path   I don't care, go on and tear me apart I don't care if you do, ooh-ooh, ooh 'Cause in a sky, 'cause in a sky full of stars I think I saw you ooh-ooh-ooh, ooh-ooh-ooh   'Cause you're a sky, 'cause you're a sky full of stars I wanna die in your arms, oh-oh-oh, oh-oh 'Cause you get lighter the more it gets dark I'm gonna give you my heart, oh   I don't care, go on and tear me apart I don't care if you do, ooh-ooh, ooh 'Cause in a sky, 'cause in a sky full of stars I think I see you ooh-ooh-ooh, ooh-ooh-ooh I think I see you ooh-ooh-ooh, ooh-ooh-ooh  [Outro] 'Cause you're a sky, you're a sky full of stars Such a heavenly view You're such a heavenly view (Yeah, yeah, yeah, ooh)See Coldplay LiveGet tickets as low as $69You might also like140Embed;
When I Was Your Man;Bruno Mars;pop;Same bed, but it feels just a little bit bigger now Our song on the radio, but it don't sound the same When our friends talk about you, all it does is just tear me down 'Cause my heart breaks a little when I hear your name  [Pre-Chorus] It all just sounds like (Ooh, ooh) Mm, too young, too dumb to realize   That I should've bought you flowers And held your hand Shoulda gave you all my hours When I had the chance Take you to every party 'Cause all you wanted to do was dance Now my baby's dancin' But she's dancin' with another man   Uh, my pride, my ego, my needs, and my selfish ways Caused a good, strong woman like you to walk out my life Now I'll never, never get to clean up the mess I made, oh And that haunts me every time I close my eyes See Bruno Mars LiveGet tickets as low as $72You might also like[Pre-Chorus] It all just sounds like (Ooh, ooh) Mm, too young, too dumb to realize   That I should've bought you flowers And held your hand Shoulda gave you all my hours When I had the chance Take you to every party 'Cause all you wanted to do was dance Now my baby's dancin' But she's dancin' with another man  [Bridge] Although it hurts I'll be the first to say that I was wrong Oh, I know I'm probably much too late To try and apologize for my mistakes But I just want you to know   I hope he buys you flowers I hope he holds your hand Give you all his hours When he has the chance Take you to every party 'Cause I remember how much you love to dance Do all the things I should've done When I was your man Do all the things I should've done When I was your man180Embed;
Hips Don't Lie (feat. Wyclef Jean);Shakira;pop; [Intro] Let me introduce you To one of the most talented men I know My friend, the genius Wyclef Jean!  I wanna see you dance, yeah!  Here we go! Put your hands in the air! Put your hands in the air! Here we go �Uno, dos, tres, cuatro! Put your hands in the air! Put your hands in the air! Put your hands in the air! Hey Shakira, Shakira  [Pre-Chorus: Wyclef Jean & Shakira] I never really knew that she could dance like this (Hey) She make a man wanna speak Spanish �C�mo se llama? (�S�!), �bonita? (�S�!) Shakira, Shakira Oh, baby, when you talk like that (Oh!) You make a woman go mad (Come on!) So be wise (�S�!), and keep on (�S�!) Reading the signs of my body (Put your hands up!) See Shakira LiveGet tickets as low as $95You might also like[Chorus: Shakira & Wyclef Jean] I'm on tonight You know my hips don�t lie And I'm starting to feel you, boy (Come on!) Come on, let's go (S�!) Real slow (S�!) Don�t you see, baby? This is perfection  [Verse 1: Wyclef Jean] Hey, girl, I can see your body moving And it's driving me crazy And I didn't have the slightest idea Until I saw you dancing And when you walk up on the dance floor, nobody cannot ignore The way you move your body, girl And everything's so unexpected, the way you right and left it So you can keep on shakin' it  [Pre-Chorus: Wyclef Jean & Shakira] I never really knew that she could dance like this (Hey) She make a man wanna speak Spanish �C�mo se llama? (�S�!), �bonita? (�S�!) Mi casa Shakira, Shakira Oh, baby, when you talk like that (Oh!) You make a woman go mad (Oh!) So be wise (�S�!), and keep on (�S�!) Reading the signs of my body (Wave your hands like this!) [Chorus: Shakira & Wyclef Jean] I'm on tonight You know my hips don't lie And I'm starting to feel you, boy Come on, let�s go (�S�!) Real slow (�S�!) Don�t you see, baby? This is perfection They know I'm on tonight My hips don�t lie and I'm starting to feel it's right All the attraction (�S�!) The tension (�S�!) Don't you see, baby? This is perfection  [Verse 2: Shakira] Oh, boy, I can see your body movin�, half-animal, half-man I don't, don't really know what I'm doin' But you seem to have a plan My will and self-restraint have come to fail now, fail now See, I'm doing what I can, but I can't, so, you know That's a bit too hard to explain  [Bridge: Wyclef Jean with Shakira] Baila en la calle de noche Baila en la calle de d�a (Let's go!) Baila en la calle de noche Baila en la calle de d�a [Pre-Chorus: Wyclef Jean & Shakira] I never really knew that she could dance like this (Hey) She make a man wanna speak Spanish �C�mo se llama? (�S�!), �bonita? (�S�!) Shakira, Shakira Oh, baby, when you talk like that (Oh!) You know you got me hypnotized (Oh!) So be wise (�S�), and keep on (�S�!) Readin' the signs of my body  [Refrain: Wyclef Jean & Shakira] Se�orita, feel the conga Let me see you move like you come from Colombia Mira, en Barranquilla se baila as�, say it! En Barranquilla se baila as� �Barranquillero'!  [Verse 3: Wyclef Jean with Shakira] Yeah, she's so sexy, every man's fantasy A refugee like me back with the Fugees from a third world country I go back like when 'Pac carried crates for Humpty Humpty We leave the whole club dizzy Why the CIA wanna watch us? It's the Colombians and Haitians I ain't guilty, it's a musical transaction Bo-bop-so-bop, no more do we snatch ropes Refugees run the seas, 'cause we own our own boats  [Chorus: Shakira & Wyclef Jean] I'm on tonight My hips don't lie, and I'm starting to feel you, boy Come on, let's go (Si!) Real slow (Si!) Baby, like this is perfection They know I'm on tonight (Come on!) My hips don't lie, and I'm starting to feel it's right All the attraction,(Si!) The tension(Si!) Baby, like this is perfection  [Refrain] I'm on tonight, come on! Everybody, jump! Jump! Jump! Jump! Jump! I'm on tonight, go! Sean Pau�, happy birthday! Let's go!! Come on, come on! I'm on tonight Everybody, jump! Jump! Jump! Jump! I'm on tonight Go Shaki, go Shaki, go! I'm on tonight If you from Miami, put your hands in the air! I'm on tonight I'm on tonight Go Shaki, go Shaki, go! I'm on tonight �Cumbia de mi tierra! Come on! Put your hands in the air! Come on! I'm on tonight  [Chorus: Shakira & Wyclef Jean] I'm on tonight You know my hips don't lie And I'm starting to feel you, boy (Come on!) Come on, let's go, (�S�!) Real slow (Put your hands up!) Don't you see, baby? This is perfection (Put your hands up!) They know I'm on tonight You know my hips don't lie And I'm starting to feel it's right (Come on!) All the attraction (�S�!) The tension (�S�!) Don't you see, baby? This is perfection  [Outro: Wyclef Jean & Shakira] No fighting tonight! No fighting! No fighting, right, people? Shakira, Shakira �Gracias! �Gracias, Wyclef! Thank you! Thank you so much! Make some noise! Make some noise! Put your hands in the air! Put your hands up! �Gracias! �Hasta siempre! �Los quiero mucho!Embed;
Hey, Soul Sister;Train;pop;Hey, hey, hey   Your lipstick stains On the front lobe of my left-side brains I knew I wouldn't forget you And so I went and let you blow my mind Your sweet moonbeam The smell of you in every single dream I dream I knew when we collided You're the one I have decided who's one of my kind   Hey, soul sister Ain't that Mr. Mister on the radio, stereo? The way you move ain't fair, you know Hey, soul sister I don't wanna miss a single thing you do Tonight  [Post-Chorus] Hey, hey, hey   Just in time I'm so glad you have a one-track mind like me You gave my life direction A game show love connection we can't deny I'm so obsessed My heart is bound to beat right out my untrimmed chest I believe in you, like a virgin, you're Madonna And I'm always gonna wanna blow your mind See Train LiveGet tickets as low as $18You might also like Hey, soul sister Ain't that Mr. Mister on the radio, stereo? The way you move ain't fair, you know Hey, soul sister I don't wanna miss a single thing you do Tonight  [Bridge] The way you can cut a rug Watching you's the only drug I need So gangster, I'm so thug You're the only one I'm dreaming of, you see I can be myself now, finally In fact, there's nothing I can't be I want the world to see you'll be with me   Hey, soul sister Ain't that Mr. Mister on the radio, stereo? The way you move ain't fair, you know Hey, soul sister I don't wanna miss a single thing you do tonight Hey, soul sister I don't wanna miss a single thing you do Tonight [Outro] Hey, hey, hey Tonight Hey, hey, hey Tonight65Embed;
Perfect;Ed Sheeran;pop;I found a love for me Oh, darlin', just dive right in and follow my lead Well, I found a girl, beautiful and sweet Oh, I never knew you were the someone waitin' for me  [Pre-Chorus] 'Cause we were just kids when we fell in love Not knowin' what it was I will not give you up this time But, darlin', just kiss me slow Your heart is all I own And in your eyes, you're holdin' mine   Baby, I'm dancin' in the dark with you between my arms Barefoot on the grass while listenin' to our favourite song When you said you looked a mess, I whispered underneath my breath But you heard it, "Darlin', you look perfect tonight"   Well, I found a woman stronger than anyone I know She shares my dreams, I hope that, someday, I'll share her home I found a love to carry more than just my secrets To carry love, to carry children of our own See Ed Sheeran LiveGet tickets as low as $36You might also like[Pre-Chorus] We are still kids, but we're so in love Fightin' against all odds I know we'll be alright this time Darlin', just hold my hand Be my girl, I'll be your man I see my future in your eyes   Baby, I'm dancin' in the dark with you between my arms Barefoot on the grass while listenin' to our favourite song When I saw you in that dress, lookin' so beautiful I don't deserve this, darlin', you look perfect tonight  [Bridge] No, no, no Mm, no, no   Baby, I'm dancin' in the dark with you between my arms We're barefoot on the grass, oh, listenin' to our favourite song I have faith in what I see, now I know I have met An angel in person and she looks perfect I don't deserve this, you look perfect tonight265Embed;
Thunder;Imagine Dragons;pop;Just a young gun with a quick fuse I was uptight, wanna let loose I was dreaming of bigger things And wanna leave my own life behind Not a "Yes, sir," not a follower Fit the box, fit the mold Have a seat in the foyer, take a number I was lightning before the thunder  [Pre-Chorus] Thunder, thunder Thunder, thun� Thunder, th-th-thunder, thunder Thunder, thunder, thun� Thunder, th-th-thunder, thunder   Thunder, feel the thunder (Thunder, thunder, thun�) Lightning, then the thunder (Thunder, th-th-thunder, thunder) Thunder, feel the thunder (Thunder, thunder, thun�, thun�) Lightning, then the thunder, thunder, thunder (Th-th-thunder) Thunder (Thun�, thun�)   Kids were laughing in my classes While I was scheming for the masses Who do you think you are? Dreaming 'bout being a big star They say: "You're basic,", they say: "You're easy" You're always riding in the backseat Now I'm smiling from the stage While you were clapping in the nosebleeds See Imagine Dragons LiveGet tickets as low as $15You might also like[Pre-Chorus] Thunder, thunder Thunder, thun� Thunder, th-th-thunder, thunder Thunder, thunder, thun� Thunder, th-th-thunder, thunder   Thunder, feel the thunder (Thunder, thunder, thun�) Lightning, then the thunder (Thunder, th-th-thunder, thunder) Thunder, feel the thunder (Thunder, thunder, thun�, thun�) Lightning, then the thunder, thunder, thunder (Th-th-thunder) Thunder (Thun�, thun�)  [Bridge] Thunder, feel the thunder Lightning, then the thunder, thunder   Thunder, feel the thunder (Thunder, thunder, thun�) Lightning, then the thunder, thunder (Thunder, th-th-thunder, thunder) Thunder, feel the thunder (Thunder, thunder, thun�, thun�) Lightning, then the thunder, thunder (Th-th-thunder) Thunder, feel the thunder (Thunder, thunder, thun�) (Never give up, never give up) Lightning, then the thunder, thunder (Thunder, th-th-thunder, thunder) (Never give up on your dreams) Thunder, feel the thunder (Thunder, thunder, thun�, thun�) (Never give up, never give up) Lightning, then the thunder, thunder (Th-th-thunder) (Never give up on your dreams) [Outro] Thunder, thunder, thun� Thunder, th-th-thunder, thunder Thunder, thunder, thun� Thunder, th-th-thunder, thunder (Woah-oh-ohh) Thunder, thunder, thun� Thunder, th-th-thunder, thunder (Woah-oh-ohh) Thunder, thunder, thun� Thunder, th-th-thunder, thunder145Embed;
Toxic;Britney Spears;pop;Baby, can't you see I'm callin'? A guy like you should wear a warnin' It's dangerous, I'm fallin' There's no escape, I can't wait I need a hit, baby, give me it You're dangerous, I'm lovin' it [Pre-Chorus] Too high, can't come down Losing my head, spinnin' round and round Do you feel me now?   With a taste of your lips, I'm on a ride You're toxic, I'm slippin' under With a taste of a poison paradise I'm addicted to you Don't you know that you're toxic? And I love what you do Don't you know that you're toxic?   It's gettin' late to give you up I took a sip from my devil's cup Slowly, it's takin' over me You might also like[Pre-Chorus] Too high, can't come down It's in the air and it's all around Can you feel me now?   With a taste of your lips, I'm on a ride You're toxic, I'm slippin' under With a taste of a poison paradise I'm addicted to you Don't you know that you're toxic? And I love what you do Don't you know that you're toxic? Don't you know that you're toxic?  [Instrumental Break]   With a taste of your lips, I'm on a ride You're toxic, I'm slippin' under With a taste of a poison paradise I'm addicted to you Don't you know that you're toxic? With a taste of your lips, I'm on a ride You're toxic, I'm slippin' under (Toxic) With a taste of a poison paradise I'm addicted to you Don't you know that you're toxic? [Outro] Intoxicate me now with your lovin' now I think I'm ready now (I think I'm ready now) Intoxicate me now with your lovin' now I think I'm ready now238Embed;
What Makes You Beautiful;One Direction;pop;You're insecure, don't know what for You're turnin' heads when you walk through the door Don't need makeup to cover up (Huh) Bein' the way that you are is enough  [Pre-Chorus: Harry] Everyone else in the room can see it Everyone else but you  [Chorus: All, Harry] Baby, you light up my world like nobody else The way that you flip your hair gets me overwhelmed But when you smile at the ground, it ain't hard to tell You don't know, oh-oh, you don't know you're beautiful If only you saw what I can see You'll understand why I want you so desperately Right now I'm looking at you and I can't believe You don't know, oh-oh, you don't know you're beautiful, oh-oh That's what makes you beautiful  [Verse 2: Zayn] So c-come on, you got it wrong To prove I'm right, I put it in a song I don't know why you're being shy And turn away when I look into your eyes You might also like[Pre-Chorus: Harry] Everyone else in the room can see it Everyone else but you  [Chorus: All, Harry] Baby, you light up my world like nobody else ('Body else) The way that you flip your hair gets me overwhelmed But when you smile at the ground, it ain't hard to tell You don't know, oh-oh, you don't know you're beautiful (Oh) If only you saw what I can see You'll understand why I want you so desperately Right now I'm looking at you and I can't believe You don't know, oh-oh, you don't know you're beautiful, oh-oh That's what makes you beautiful  [Bridge: All] Na, na-na-na, na-na-na, na, na Na, na-na-na, na-na Na, na-na-na, na-na-na, na, na Na, na-na-na, na-na  [Breakdown: Harry] Baby, you light up my world like nobody else The way that you flip your hair gets me overwhelmed But when you smile at the ground, it ain't hard to tell (You don't know, oh-oh) You don't know you're beautiful [Chorus: All, Harry, Zayn] Baby, you light up my world like nobody else (Light up my world like nobody else) The way that you flip your hair (C'mon) gets me overwhelmed But when you smile at the ground (Smile at the ground), it ain't hard to tell You don't know, oh-oh, you don't know you're beautiful (Oh, woah) If only you saw what I can see You'll understand why I want you so desperately (Desperately) Right now I'm looking at you and I can't believe You don't know (Don't know), oh-oh, you don't know you're beautiful, oh-oh You don't know you're beautiful, oh-oh That's what makes you beautiful [Written By Savan Kotecha]78Embed;
