Track_name;Artist_Name;genra;lyrics
Paint It, Black;The Rolling Stones;rock;  I see a red door and I want it painted black No colours anymore, I want them to turn black I see the girls walk by dressed in their summer clothes I have to turn my head until my darkness goes   I see a line of cars and they're all painted black With flowers and my love, both never to come back I see people turn their heads and quickly look away Like a newborn baby, it just happens every day   I look inside myself and see my heart is black I see my red door, I must have it painted black Maybe then I'll fade away and not have to face the facts It's not easy facing up when your whole world is black   No more will my green sea go turn a deeper blue I could not foresee this thing happening to you If I look hard enough into the setting sun My love will laugh with me before the morning comes You might also like I see a red door and I want it painted black No colours anymore, I want them to turn black I see the girls walk by dressed in their summer clothes I have to turn my head until my darkness goes  [Outro] I wanna see it painted, painted black Black as night, black as coal I wanna see the sun blotted out from the sky I wanna see it painted, painted, painted Painted black, yeah86Embed;
Fortunate Son;Creedence Clearwater Revival;rock;Some folks are born made to wave the flag Ooh, they're red, white and blue And when the band plays "Hail to the Chief" Ooh, they point the cannon at you, Lord   It ain't me, it ain't me I ain't no senator's son, son It ain't me, it ain't me I ain't no fortunate one, no   Some folks are born silver spoon in hand Lord, don't they help themselves, no But when the taxman come to the door Lord, the house lookin' like a rummage sale, yeah   It ain't me, it ain't me I ain't no millionaire's son, no, no It ain't me, it ain't me I ain't no fortunate one, no  [Instrumental Break] You might also like Yeah, some folks inherit star-spangled eyes Ooh, they send you down to war, Lord And when you ask 'em, "How much should we give?" Ooh, they only answer, "More, more, more, more"   It ain't me, it ain't me I ain't no military son, son, Lord It ain't me, it ain't me I ain't no fortunate one, one It ain't me, it ain't me I ain't no fortunate one, no, no, no It ain't me, it ain't me I ain't no fortunate son, no, no, no It ain't me, it ain't me48Embed;
Sweet Child O' Mine;Guns N' Roses;rock;  She's got a smile that it seems to me Reminds me of childhood memories Where everything was as fresh as the bright blue sky (Sky) Now and then when I see her face She takes me away to that special place And if I stared too long, I'd probably break down and cry   Woah, oh, oh Sweet child o' mine Woah, oh, oh, oh Sweet love of mine [Instrumental Break]   She's got eyes of the bluest skies As if they thought of rain I'd hate to look into those eyes and see an ounce of pain Her hair reminds me of a warm, safe place Where, as a child, I'd hide And pray for the thunder and the rain to quietly pass me by You might also like Woah, oh, oh Sweet child o' mine Woah woah, oh, oh, oh Sweet love of mine [Instrumental Break] Ooh!   Oh, oh-oh-yeah Woah, yeah Woah, oh, h-o Sweet child of mine Woah-oh, woah-oh Sweet love of mine Woah, oh-oh-oh Sweet child of mine, ooh, yeah Ooh-ooh-ooh-ooh Sweet love of mine [Guitar Solo]  [Outro] Where do we go? Where do we go now? Where do we go? Mm-mm, oh, where do we go? Where do we go now? Oh, where do we go now? (Where do we go?) Where do we go? (Sweet child) Mm-huh, where do we go now? Ah-yah-yah-yah-yah-yah-yah-yah-oh (Where do we go? Where do we go?) Ooh, where do we go now? (Where do we go?) Uh-uh-uh, uh-uh-uh-oh, wow Where do we go? Oh-oh, where do we go now? (Oh) Where do we go, oh-oh-oh-oh? (Oh, wow) Where do we go now? Where do we go? Woah-oh, where do we go now? No, no, no, no, no, no, no Sweet child Sweet child of mine78Embed;
Seven Nation Army;The White Stripes;rock;I'm gonna fight 'em off A seven-nation army couldn't hold me back They're gonna rip it off Takin' their time right behind my back And I'm talkin' to myself at night because I can't forget Back and forth through my mind, behind a cigarette  [Pre-Chorus] And the message comin' from my eyes says, "Leave it alone" [Instrumental Chorus]   Don't wanna hear about it Every single one's got a story to tell Everyone knows about it From the Queen of England to the Hounds of Hell And if I catch it comin' back my way, I'm gonna serve it to you And that ain't what you want to hear, but that's what I'll do  [Pre-Chorus] And the feelin' comin' from my bones says, "Find a home" [Instrumental Chorus] You might also like[Guitar Solo]   I'm goin' to Wichita Far from this opera forevermore I'm gonna work the straw Make the sweat drip out of every pore And I'm bleedin' and I'm bleedin' and I'm bleedin' right before the Lord All the words are gonna bleed from me and I will think no more  [Pre-Chorus] And the stains comin' from my blood tell me, "Go back home" [Instrumental Chorus]115Embed;
Thunderstruck;AC/DC;rock;Thunder, ah Thunder, ah Thunder, ah Thunder, ah Thunder, ah Thunder, ah Thunder, ah Thunder, ah Thunder, ah Thunder, ah   I was caught in the middle of a railroad track (Thunder) I looked 'round and I knew there was no turning back (Thunder) My mind raced and I thought, what could I do? (Thunder) And I knew there was no help, no help from you (Thunder) Sound of the drums beating in my heart The thunder of guns tore me apart  [Refrain] You've been - thunderstruck   Went down the highway, broke the limit, we hit the town Went through to Texas, Yeah, Texas, and we had some fun We met some girls, some dancers who gave a good time Broke all the rules, played all the fools Yeah-yeah, they, they, they blew our minds You might also like[Pre-Chorus] I was shaking at the knees Could I come again please? Yeah, the ladies were too kind   You've been - thunderstruck, thunderstruck Yeah-yeah-yeah, thunderstruck Oh, thunderstruck Yeah  [Bridge 1] I was shaking at the knees Could I come again please? Yow  [Instrumental Break] [Guitar Solo]   Thunderstruck, thunderstruck Yeah-yeah-yeah, thunderstruck Thunderstruck, yeah, yeah, yeah Said  [Bridge 2] Yeah, it's alright We're doing fine Yeah, it's alright We're doing fine, so fine  Thunderstruck, yeah-yeah-yeah Thunderstruck, thunderstruck, thunderstruck Whoa, baby, baby (Thunderstruck) You've been thunderstruck, thunderstruck Thunderstruck, thunderstruck You've been thunderstruck41Embed;
Dream On;Aerosmith;rock;Every time that I look in the mirror All these lines on my face getting clearer The past is gone It went by like dusk to dawn Isn't that the way? Everybody's got their dues in life to pay, yeah  [Interlude] I know nobody knows Where it comes and where it goes I know it's everybody's sin You got to lose to know how to win   Half my life's in books' written pages Lived and learned from fools and from sages You know it's true All the feelings come back to you   Sing with me, sing for the year Sing for the laughter and sing for the tear Sing with me, if it's just for today Maybe tomorrow, the good Lord will take you away You might also like[Instrumental Break]   Sing with me, sing for the year Sing for the laughter and sing for the tear Sing with me, if it's just for today Maybe tomorrow, the good Lord will take you away  [Bridge] Dream on, dream on, dream on Dream until your dreams come true Dream on, dream on, dream on Dream until your dreams come true Dream on, dream on Dream on, dream on Dream on, dream on Dream on, ah!   Sing with me, sing for the year Sing for the laughter and sing for the tear Sing with me, if it's just for today Maybe tomorrow, the good Lord will take you away Sing with me, sing for the year Sing for the laughter and sing for the tear Sing with me, if it's just for today Maybe tomorrow, the good Lord will take you away105Embed;
Enter Sandman;Metallica;rock;  Say your prayers, little one, don't forget, my son To include everyone I tuck you in, warm within, keep you free from sin 'Til the Sandman, he comes  [Pre-Chorus] Sleep with one eye open Gripping your pillow tight   Exit light Enter night Take my hand We're off to never-never land   Something's wrong, shut the light, heavy thoughts tonight And they aren't of Snow White Dreams of war, dreams of liars, dreams of dragons' fire And of things that will bite, yeah  [Pre-Chorus] Sleep with one eye open Gripping your pillow tight See Metallica LiveGet tickets as low as $35You might also like Exit light Enter night Take my hand We're off to never-never land Yeah [Guitar Solo]  [Bridge] Now, I lay me down to sleep (Now, I lay me down to sleep) Pray the Lord my soul to keep (Pray the Lord my soul to keep) If I die before I wake (If I die before I wake) Pray the Lord my soul to take (Pray the Lord my soul to take) Hush little baby, don't say a word And never mind that noise you heard It's just the beasts under your bed In your closet, in your head   Exit light Enter night Grain of sand Exit light Enter night Take my hand We're off to never-never land (Yeah, haha haha) [Outro] Oh, yeah-yeah, yo-oh We're off to never-never land Take my hand We're off to never-never land Take my hand We're off to never-never land We're off to never-never land We're off to never-never land We're off to never-never land98Embed;
Smoke on the Water;Deep Purple;rock;  We all came out to Montreux On the Lake Geneva shoreline To make records with a mobile We didn't have much time But Frank Zappa and the Mothers Were at the best place around But some stupid with a flare gun Burned the place to the ground   Smoke on the water And fire in the sky Smoke on the water   They burned down the gambling house It died with an awful sound Funky Claude was running in and out Pulling kids out the ground When it all was over We had to find another place But Swiss time was running out It seemed that we would lose the race See Deep Purple LiveGet tickets as low as $17You might also like Smoke on the water And fire in the sky Smoke on the water [Guitar Solo]   We ended up at the Grand Hotel It was empty, cold and bare But with the Rolling-truck-Stones-thing just outside Making our music there With a few red lights, a few old beds We made a place to sweat No matter what, we get out of this I know, I know we'll never forget   Smoke on the water And fire in the sky Smoke on the water [Instrumental Outro]23Embed;
La Grange - 2005 Remaster;ZZ Top;rock;  We all came out to Montreux On the Lake Geneva shoreline To make records with a mobile We didn't have much time But Frank Zappa and the Mothers Were at the best place around But some stupid with a flare gun Burned the place to the ground   Smoke on the water And fire in the sky Smoke on the water   They burned down the gambling house It died with an awful sound Funky Claude was running in and out Pulling kids out the ground When it all was over We had to find another place But Swiss time was running out It seemed that we would lose the race See Deep Purple LiveGet tickets as low as $17You might also like Smoke on the water And fire in the sky Smoke on the water [Guitar Solo]   We ended up at the Grand Hotel It was empty, cold and bare But with the Rolling-truck-Stones-thing just outside Making our music there With a few red lights, a few old beds We made a place to sweat No matter what, we get out of this I know, I know we'll never forget   Smoke on the water And fire in the sky Smoke on the water [Instrumental Outro]23Embed;
Everlong;Foo Fighters;rock;  Hello, I've waited here for you Everlong Tonight, I throw myself into And out of the red, out of her head, she sang   Come down, and waste away with me Down with me Slow, how you wanted it to be I'm over my head, out of her head, she sang  [Pre-Chorus] And I wonder When I sing along with you   If everything could ever feel this real forever If anything could ever be this good again The only thing I'll ever ask of you You gotta promise not to stop when I say when She sang   Breathe out, so I can breathe you in Hold you in And now, I know you've always been Out of your head, out of my head, I sang See Foo Fighters LiveGet tickets as low as $249You might also like[Pre-Chorus] And I wonder When I sing along with you   If everything could ever feel this real forever If anything could ever be this good again The only thing I'll ever ask of you You gotta promise not to stop when I say when She sang [Instrumental Break]  [Pre-Chorus] And I wonder   If everything could ever feel this real forever If anything could ever be this good again The only thing I'll ever ask of you You gotta promise not to stop when I say when127Embed;
